"p0_heroid","p0_item0","p0_item1","p0_item2","p0_item3","p0_item4","p0_item5","p0_deaths","p0_denies","p0_assists","p0_kills","player_0_l0","player_0_l1","player_0_l2","player_0_l3","player_0_l4","player_0_l5","player_0_l6","player_0_l7","player_0_l8","player_0_l9","player_0_l10","player_0_l11","player_0_l12","player_0_l13","player_0_l14","player_0_l15","player_0_l16","player_0_l17","player_0_l18","player_0_l19","player_0_l20","player_0_l21","player_0_l22","player_0_l23","player_0_l24","p1_heroid","p1_item0","p1_item1","p1_item2","p1_item3","p1_item4","p1_item5","p1_deaths","p1_denies","p1_assists","p1_kills","player_1_l0","player_1_l1","player_1_l2","player_1_l3","player_1_l4","player_1_l5","player_1_l6","player_1_l7","player_1_l8","player_1_l9","player_1_l10","player_1_l11","player_1_l12","player_1_l13","player_1_l14","player_1_l15","player_1_l16","player_1_l17","player_1_l18","player_1_l19","player_1_l20","player_1_l21","player_1_l22","player_1_l23","player_1_l24","p2_heroid","p2_item0","p2_item1","p2_item2","p2_item3","p2_item4","p2_item5","p2_deaths","p2_denies","p2_assists","p2_kills","player_2_l0","player_2_l1","player_2_l2","player_2_l3","player_2_l4","player_2_l5","player_2_l6","player_2_l7","player_2_l8","player_2_l9","player_2_l10","player_2_l11","player_2_l12","player_2_l13","player_2_l14","player_2_l15","player_2_l16","player_2_l17","player_2_l18","player_2_l19","player_2_l20","player_2_l21","player_2_l22","player_2_l23","player_2_l24","p3_heroid","p3_item0","p3_item1","p3_item2","p3_item3","p3_item4","p3_item5","p3_deaths","p3_denies","p3_assists","p3_kills","player_3_l0","player_3_l1","player_3_l2","player_3_l3","player_3_l4","player_3_l5","player_3_l6","player_3_l7","player_3_l8","player_3_l9","player_3_l10","player_3_l11","player_3_l12","player_3_l13","player_3_l14","player_3_l15","player_3_l16","player_3_l17","player_3_l18","player_3_l19","player_3_l20","player_3_l21","player_3_l22","player_3_l23","player_3_l24","p4_heroid","p4_item0","p4_item1","p4_item2","p4_item3","p4_item4","p4_item5","p4_deaths","p4_denies","p4_assists","p4_kills","player_4_l0","player_4_l1","player_4_l2","player_4_l3","player_4_l4","player_4_l5","player_4_l6","player_4_l7","player_4_l8","player_4_l9","player_4_l10","player_4_l11","player_4_l12","player_4_l13","player_4_l14","player_4_l15","player_4_l16","player_4_l17","player_4_l18","player_4_l19","player_4_l20","player_4_l21","player_4_l22","player_4_l23","player_4_l24","p128_heroid","p128_item0","p128_item1","p128_item2","p128_item3","p128_item4","p128_item5","p128_deaths","p128_denies","p128_assists","p128_kills","player_128_l0","player_128_l1","player_128_l2","player_128_l3","player_128_l4","player_128_l5","player_128_l6","player_128_l7","player_128_l8","player_128_l9","player_128_l10","player_128_l11","player_128_l12","player_128_l13","player_128_l14","player_128_l15","player_128_l16","player_128_l17","player_128_l18","player_128_l19","player_128_l20","player_128_l21","player_128_l22","player_128_l23","player_128_l24","p129_heroid","p129_item0","p129_item1","p129_item2","p129_item3","p129_item4","p129_item5","p129_deaths","p129_denies","p129_assists","p129_kills","player_129_l0","player_129_l1","player_129_l2","player_129_l3","player_129_l4","player_129_l5","player_129_l6","player_129_l7","player_129_l8","player_129_l9","player_129_l10","player_129_l11","player_129_l12","player_129_l13","player_129_l14","player_129_l15","player_129_l16","player_129_l17","player_129_l18","player_129_l19","player_129_l20","player_129_l21","player_129_l22","player_129_l23","player_129_l24","p130_heroid","p130_item0","p130_item1","p130_item2","p130_item3","p130_item4","p130_item5","p130_deaths","p130_denies","p130_assists","p130_kills","player_130_l0","player_130_l1","player_130_l2","player_130_l3","player_130_l4","player_130_l5","player_130_l6","player_130_l7","player_130_l8","player_130_l9","player_130_l10","player_130_l11","player_130_l12","player_130_l13","player_130_l14","player_130_l15","player_130_l16","player_130_l17","player_130_l18","player_130_l19","player_130_l20","player_130_l21","player_130_l22","player_130_l23","player_130_l24","p131_heroid","p131_item0","p131_item1","p131_item2","p131_item3","p131_item4","p131_item5","p131_deaths","p131_denies","p131_assists","p131_kills","player_131_l0","player_131_l1","player_131_l2","player_131_l3","player_131_l4","player_131_l5","player_131_l6","player_131_l7","player_131_l8","player_131_l9","player_131_l10","player_131_l11","player_131_l12","player_131_l13","player_131_l14","player_131_l15","player_131_l16","player_131_l17","player_131_l18","player_131_l19","player_131_l20","player_131_l21","player_131_l22","player_131_l23","player_131_l24","p132_heroid","p132_item0","p132_item1","p132_item2","p132_item3","p132_item4","p132_item5","p132_deaths","p132_denies","p132_assists","p132_kills","player_132_l0","player_132_l1","player_132_l2","player_132_l3","player_132_l4","player_132_l5","player_132_l6","player_132_l7","player_132_l8","player_132_l9","player_132_l10","player_132_l11","player_132_l12","player_132_l13","player_132_l14","player_132_l15","player_132_l16","player_132_l17","player_132_l18","player_132_l19","player_132_l20","player_132_l21","player_132_l22","player_132_l23","player_132_l24","class"
104,0,44,16,0,182,16,0,1,0,0,5597,5596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,77,237,0,16,15,0,0,2,0,0,5098,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,20,39,216,44,0,0,0,0,0,5138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,44,16,16,216,182,16,0,0,0,0,5426,5428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,44,0,0,0,0,0,1,0,0,5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,182,11,0,0,0,0,0,0,0,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,44,182,16,16,20,34,0,3,0,0,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,14,20,20,44,14,0,0,1,0,0,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,0,14,34,0,14,0,3,0,0,5083,5082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,11,50,65,0,182,240,1,0,2,1,5250,5251,5249,5250,5250,5251,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,180,23,0,244,265,0,0,8,2,1,5347,5345,5347,5345,5347,5348,5347,5345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,44,15,180,261,244,23,1,8,1,0,5581,5582,5581,5582,5583,5584,5581,5581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,77,63,206,40,0,77,0,9,1,3,5377,5378,5379,5377,5379,5380,5378,5379,5379,6016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,50,11,182,73,73,137,1,9,1,2,5609,5608,5608,5609,5608,5612,5608,5609,5609,5940,5610,5612,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,75,36,206,29,0,0,2,6,0,2,5219,5220,5219,5220,5219,5221,5219,5218,5220,5220,6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,216,0,0,0,0,0,1,4,0,0,5260,5261,5260,5259,5260,7319,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,36,75,75,0,0,1,2,2,1,5021,5632,5021,5019,5021,5022,5021,5632,5019,5921,5632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,0,178,216,0,182,5,1,2,0,5075,5076,5076,5074,5076,5077,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,244,181,16,182,11,25,0,0,0,0,5359,5358,5359,5358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,94,0,0,0,0,4,10,0,0,5147,5148,5147,5146,5147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,29,34,11,216,216,182,2,0,0,0,5608,5609,5608,5609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,77,15,39,16,44,216,0,1,0,0,5098,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,182,50,38,0,75,0,1,10,0,0,5509,5511,5509,5508,5510,5512,5510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,44,39,180,181,0,0,0,1,1,2,5442,5444,5442,5444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,38,11,75,63,75,182,0,14,1,1,5467,5469,5468,5467,5467,5469,5467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,29,182,0,0,0,181,0,0,2,0,5286,5287,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,75,241,16,41,29,16,0,15,0,3,5361,5362,5361,5362,5361,5364,5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,178,0,0,180,182,0,0,1,0,1,5256,5257,5256,5255,5256,5257,5257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,178,0,39,11,182,0,0,1,0,0,6583,6495,6583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,244,39,44,0,0,0,0,0,0,5023,5025,5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,77,16,241,0,237,77,0,8,1,0,5372,5370,5372,5370,5372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,63,11,216,44,216,182,0,11,0,1,5397,5395,5397,5395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,44,0,16,216,16,0,1,0,1,5625,5623,5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,14,0,0,0,0,75,1,0,0,0,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,77,77,241,0,0,0,1,0,0,0,5040,5042,5040,5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,11,44,16,16,16,182,0,4,0,0,5621,5620,5620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,44,29,0,0,0,0,0,1,0,0,5080,5078,5078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,44,237,0,0,0,0,0,1,0,0,5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,182,44,11,13,0,0,0,0,0,0,5426,5428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,182,16,11,16,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,44,12,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,182,73,39,11,73,0,1,0,0,1,5032,5031,5033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,44,182,11,16,16,0,1,0,0,0,5028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,181,14,14,29,2,241,1,2,1,1,5723,5716,5723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,44,182,39,29,16,11,0,12,0,0,5509,5508,5510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,44,38,237,0,0,0,0,4,1,0,5377,5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,44,216,0,244,0,0,0,2,5075,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,182,216,13,20,216,216,0,3,0,0,5526,5524,5526,5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,254,102,214,0,0,0,6,5,6,2,5471,5473,5471,5473,5476,7316,5471,5473,5473,5471,7316,5919,5476,5476,6930,5476,0,0,0,0,0,0,0,0,0,86,100,41,37,77,180,277,4,4,3,7,5450,5448,5450,7320,5450,5452,5450,7320,7320,6366,7320,5452,5448,5448,6197,5448,5452,0,0,0,0,0,0,0,0,27,232,214,40,218,216,36,6,0,5,1,5078,5080,5080,5078,5080,5081,5080,5079,5078,6017,5078,5081,5079,5079,0,0,0,0,0,0,0,0,0,0,0,10,63,147,75,0,75,26,3,7,3,4,5055,5053,5055,5052,5055,5053,5053,5057,5055,6062,5053,5057,5052,5052,5907,0,0,0,0,0,0,0,0,0,0,129,63,1,34,40,11,8,5,1,4,1,6582,6583,6583,6582,6495,6598,6583,6583,6495,6582,5918,6598,6495,6495,0,0,0,0,0,0,0,0,0,0,0,50,77,77,240,194,231,65,4,2,7,6,5233,5235,5233,5235,5233,7304,5233,5234,5235,5942,5235,7304,5234,5234,6197,5234,7304,6528,0,0,0,0,0,0,0,56,0,174,0,75,168,63,4,3,2,8,5260,5259,5260,5261,5260,7319,5260,5259,5259,5932,5261,7319,5259,5261,6104,5261,7319,0,0,0,0,0,0,0,0,53,88,63,240,215,0,185,3,1,13,2,5247,5245,5247,5246,5247,5248,5247,5246,5246,5939,5246,5248,5245,5245,6500,5245,0,0,0,0,0,0,0,0,0,69,50,152,116,182,36,0,2,6,7,5,5339,5341,5339,5341,5340,5342,5339,5339,5341,7123,5342,5341,5340,5973,5340,5340,5342,6371,0,0,0,0,0,0,0,93,252,152,63,11,75,75,2,2,4,3,5496,5495,5494,5496,5494,5497,5494,5494,5495,5495,6137,5497,5495,5496,5907,5496,5497,0,0,0,0,0,0,0,0,0
129,206,244,73,36,265,29,1,8,1,3,6583,6495,6583,6495,6583,6598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,223,38,185,75,261,0,5,5,1,5083,5084,5083,5082,5084,5085,5084,5084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,223,166,237,41,38,0,0,6,1,4,5131,5132,5131,5130,5131,5133,5131,5130,5130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,63,172,223,75,75,36,0,33,1,4,5055,5052,5055,5053,5055,5053,5055,5057,5053,5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,214,0,0,38,36,244,0,3,5,1,5345,5347,5347,5345,5345,5348,5347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,44,216,38,11,29,16,3,1,1,0,5585,5586,5585,5586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,182,178,11,73,39,2,6,1,0,5108,5106,5108,5107,5106,5109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,265,11,182,216,29,13,4,6,0,0,5402,5400,5400,7310,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,3,1,0,0,5723,5716,5723,5716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,182,29,102,0,0,0,2,1,2,1,5015,5017,5017,5016,5017,5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,81,214,73,125,236,0,1,0,3,7,5585,5586,5585,5586,5585,5586,5585,5586,5587,5918,5587,5587,5587,5588,5934,5588,0,0,0,0,0,0,0,0,0,129,88,214,73,125,236,0,0,0,3,2,6583,6495,6583,6495,6583,6495,6583,6495,6582,5982,6582,6582,6582,0,0,0,0,0,0,0,0,0,0,0,0,37,88,214,73,125,236,0,0,0,3,2,5162,5163,5162,5163,5162,5163,5162,5163,5164,6982,5164,5164,0,0,0,0,0,0,0,0,0,0,0,0,0,19,81,214,73,125,236,0,2,0,8,1,5106,5107,5106,5107,5106,5107,5106,5107,5108,5918,5108,5108,5108,0,0,0,0,0,0,0,0,0,0,0,0,72,81,214,73,125,236,0,1,0,4,6,5361,5362,5361,5362,5361,5362,5361,5362,5363,5960,5363,5363,5363,5364,7141,5364,0,0,0,0,0,0,0,0,0,68,88,214,73,125,236,0,5,0,0,0,5345,5346,5345,5346,5345,5346,5345,5346,5347,6007,5347,5347,5347,0,0,0,0,0,0,0,0,0,0,0,0,30,88,214,73,125,0,0,7,0,0,0,5138,5139,5138,5139,5138,5139,5138,5139,5140,5942,5140,5140,5140,0,0,0,0,0,0,0,0,0,0,0,0,87,88,214,73,125,0,0,4,0,0,0,5458,5459,5458,5459,5458,5459,5458,5459,5460,5959,5460,5460,5460,0,0,0,0,0,0,0,0,0,0,0,0,95,88,214,73,125,236,0,4,0,0,2,5508,5509,5508,5509,5508,5509,5508,5509,5511,6029,5511,5511,5511,0,0,0,0,0,0,0,0,0,0,0,0,50,88,214,73,125,0,0,5,0,0,0,5233,5234,5233,5234,5233,5234,5233,5234,5235,5942,5235,5235,5235,0,0,0,0,0,0,0,0,0,0,0,0,1
75,36,63,0,244,0,0,1,6,6,1,5377,5379,5379,5377,5377,5380,5377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,65,63,216,182,168,170,0,13,0,5,5086,5088,5088,5086,5088,5089,5088,5087,5086,5906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,41,237,0,92,0,244,0,3,1,0,5485,5487,5486,5486,5487,5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,44,36,50,81,11,182,1,3,0,1,5359,5358,5359,5358,5359,5360,5359,5358,5358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,75,41,63,57,152,0,12,1,6,5062,5061,5061,5062,5061,5062,5061,5062,5064,5949,5063,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,216,38,29,44,216,2,3,1,0,5163,5162,5163,5162,5163,5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,11,182,36,75,63,3,11,1,1,5003,5004,5003,5004,5003,5006,5003,7314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,44,214,244,244,244,0,1,1,0,1,5044,5045,5044,5046,5044,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,75,75,265,0,0,63,3,8,0,0,5219,5218,5219,5218,5219,5221,5219,5220,5220,6565,5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,182,244,11,88,16,28,5,0,0,0,5340,5341,5339,5340,5340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,158,147,50,135,208,133,6,9,8,12,5028,5029,5028,5027,5029,5030,5028,5028,5027,5921,5027,5030,5027,5029,5906,5029,5030,6004,6377,0,0,0,0,0,0,87,108,231,218,1,92,37,6,0,25,3,5458,5460,5459,5459,5459,5461,5459,5460,5460,5959,5461,5460,5458,5458,6056,5458,5461,6026,6630,0,0,0,0,0,0,84,65,176,232,108,235,29,6,8,8,9,5439,5438,5439,5438,5439,5441,5439,5438,5438,6003,5440,5441,5440,5440,5993,5440,5441,6633,6707,0,0,0,0,0,0,14,214,226,242,119,0,1,10,0,8,9,5075,5076,5076,5075,5075,5077,5075,5076,6245,5076,5074,5077,5074,5074,6560,5074,5077,6026,6023,0,0,0,0,0,0,89,147,11,182,36,48,137,6,2,11,3,5469,5467,5468,5469,5469,5470,5469,5467,5467,7029,5470,5468,5467,5468,7386,5468,5470,6205,6700,0,0,0,0,0,0,94,48,160,139,26,141,5,3,13,5,8,5505,5505,5504,5504,5505,5507,5505,5504,5504,5938,5506,5507,5506,5506,5907,5506,5507,6182,6803,0,0,0,0,0,0,53,249,77,63,250,168,77,9,1,9,9,5247,5246,5245,5246,5247,5248,5246,5246,5939,5247,5247,5248,5245,5245,6004,5245,5248,6210,0,0,0,0,0,0,0,114,36,168,24,116,143,50,10,0,10,9,5723,5716,5716,5723,5716,5723,5723,5721,5716,5725,5906,5725,5721,6421,5721,5721,5725,6303,6697,0,0,0,0,0,0,102,55,50,36,154,137,252,10,0,17,5,5586,5585,5586,5587,5586,5588,5585,5585,5585,5918,5586,5588,5587,5934,5587,5587,5588,5968,6100,0,0,0,0,0,0,44,50,116,226,75,8,168,7,4,9,3,5190,5192,5190,5191,5190,5193,5190,5191,5192,5938,5191,5193,5192,5192,6289,5191,5193,6848,6847,0,0,0,0,0,0,1
